"Anatomical Strucures, Cell Types and Biomarkers Table for kidney v1.0",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,
Date:,07/15/2021,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,AS/8,AS/8/LABEL,AS/8/ID
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,renal glomerulus,renal glomerulus,UBERON:0000074,renal glomerulus vasculature,renal glomerulus vasculature,UBERON:0004190,glomerular capillary,glomerular capillary,UBERON:0004212,glomerular capillary endothelium,glomerular capillary endothelium,UBERON:0004294
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,glomerular capsule,glomerular capsule,UBERON:0001230,glomerular tuft,glomerular tuft,UBERON:0005749,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,outer medulla of kidney,outer medulla of kidney,UBERON:0001293,outer renal medulla loop of Henle,outer renal medulla loop of Henle,UBERON:0034996,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,kidney vasculature,kidney vasculature,UBERON:0006544,kidney blood vessel,kidney blood vessel,UBERON:0003517,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,nephrogenic zone,nephrogenic zone,UBERON:0009871,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal pelvis,renal pelvis,UBERON:0001224,renal papilla,renal papilla,UBERON:0001228,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,renal glomerulus,renal glomerulus,UBERON:0000074,renal glomerulus vasculature,renal glomerulus vasculature,UBERON:0004190,glomerular mesangium,glomerular mesangium,UBERON:0002320,,,
kidney,kidney,UBERON:0002113,kidney interstitium,kidney interstitium,UBERON:0005215,mesangium,mesangium,UBERON:0002319,extraglomerular mesangium,extraglomerular mesangium,UBERON:0002321,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,uriniferous tubule,uriniferous tubule,UBERON:0007684,collecting duct of renal tubule,collecting duct of renal tubule,UBERON:0001232,renal medulla collecting duct,renal medulla collecting duct,UBERON:0005185,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,outer medulla of kidney,outer medulla of kidney,UBERON:0001293,kidney outer medulla inner stripe,kidney outer medulla inner stripe,UBERON:0004201,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,renal afferent arteriole,renal afferent arteriole,UBERON:0004639,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,renal glomerulus,renal glomerulus,UBERON:0000074,renal glomerulus vasculature,renal glomerulus vasculature,UBERON:0004190,glomerular endothelium,glomerular endothelium,UBERON:0004189,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,renal glomerulus,renal glomerulus,UBERON:0000074,glomerular epithelium,glomerular epithelium,UBERON:0004188,,,,,,
kidney,kidney,UBERON:0002113,anterior surface of kidney,anterior surface of kidney,UBERON:0035368,,,,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,medullary ray,medullary ray,UBERON:0009883,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,uriniferous tubule,uriniferous tubule,UBERON:0007684,collecting duct of renal tubule,collecting duct of renal tubule,UBERON:0001232,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,inner medulla of kidney,inner medulla of kidney,UBERON:0001294,inner renal medulla loop of henle,inner renal medulla loop of henle,UBERON:0003455,loop of Henle ascending limb thin segment,loop of Henle ascending limb thin segment,UBERON:0004193,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,outer medulla of kidney,outer medulla of kidney,UBERON:0001293,outer renal medulla interstitium,outer renal medulla interstitium,UBERON:0005213,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,inner medulla of kidney,inner medulla of kidney,UBERON:0001294,inner renal medulla interstitium,inner renal medulla interstitium,UBERON:0005214,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal fat pad,renal fat pad,UBERON:0014464,,,,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal pelvis,renal pelvis,UBERON:0001224,kidney pelvis urothelium,kidney pelvis urothelium,UBERON:0004788,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,glomerular capsule,glomerular capsule,UBERON:0001230,Bowman's space,Bowman's space,UBERON:0001286,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,proximal convoluted tubule,proximal convoluted tubule,UBERON:0001287,proximal convoluted tubule segment 1,proximal convoluted tubule segment 1,UBERON:0004196,,,,,,,,,
kidney,kidney,UBERON:0002113,renal lobe,renal lobe,UBERON:0009913,renal lobule,renal lobule,UBERON:0009914,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,glomerular capsule,glomerular capsule,UBERON:0001230,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,renal medulla loop of Henle,renal medulla loop of Henle,UBERON:0034997,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,juxtaglomerular apparatus,juxtaglomerular apparatus,UBERON:0002303,macula densa,macula densa,UBERON:0002335,,,,,,,,,
kidney,kidney,UBERON:0002113,renal pelvis,renal pelvis,UBERON:0001224,renal papilla,renal papilla,UBERON:0001228,tip of renal papilla,tip of renal papilla,UBERON:0009095,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,uriniferous tubule,uriniferous tubule,UBERON:0007684,collecting duct of renal tubule,collecting duct of renal tubule,UBERON:0001232,kidney collecting duct epithelium,kidney collecting duct epithelium,UBERON:0014388,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,outer medulla of kidney,outer medulla of kidney,UBERON:0001293,outer renal medulla vasa recta,outer renal medulla vasa recta,UBERON:0004775,outer medulla vasa recta ascending limb,outer medulla vasa recta ascending limb,UBERON:0009093,,,,,,,,,
kidney,kidney,UBERON:0002113,renal pelvis,renal pelvis,UBERON:0001224,mucosa of renal pelvis,mucosa of renal pelvis,UBERON:0005006,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,juxtaglomerular apparatus,juxtaglomerular apparatus,UBERON:0002303,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,renal glomerulus,renal glomerulus,UBERON:0000074,glomerular epithelium,glomerular epithelium,UBERON:0004188,glomerular basement membrane,glomerular basement membrane,UBERON:0005777,lamina densa of glomerular basement membrane,lamina densa of glomerular basement membrane,UBERON:0005787
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,outer medulla of kidney,outer medulla of kidney,UBERON:0001293,outer renal medulla peritubular capillary,outer renal medulla peritubular capillary,UBERON:0006341,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,renal glomerulus,renal glomerulus,UBERON:0000074,renal glomerulus vasculature,renal glomerulus vasculature,UBERON:0004190,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,outer medulla of kidney,outer medulla of kidney,UBERON:0001293,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,outer medulla of kidney,outer medulla of kidney,UBERON:0001293,kidney outer medulla inner stripe,kidney outer medulla inner stripe,UBERON:0004201,outer medulla inner stripe loop of Henle,outer medulla inner stripe loop of Henle,UBERON:0006541,premacula segment of distal straight tubule,premacula segment of distal straight tubule,UBERON:0006376,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,inner medulla of kidney,inner medulla of kidney,UBERON:0001294,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,proximal tubule,proximal tubule,UBERON:0004134,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,inner medulla of kidney,inner medulla of kidney,UBERON:0001294,inner renal medulla vasa recta,inner renal medulla vasa recta,UBERON:0004776,inner medulla vasa recta ascending limb,inner medulla vasa recta ascending limb,UBERON:0009092,,,,,,,,,
kidney,kidney,UBERON:0002113,kidney vasculature,kidney vasculature,UBERON:0006544,kidney capillary,kidney capillary,UBERON:0003527,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,uriniferous tubule,uriniferous tubule,UBERON:0007684,nephron,nephron,UBERON:0001285,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,renal medulla interstitium,renal medulla interstitium,UBERON:0005211,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,inner medulla of kidney,inner medulla of kidney,UBERON:0001294,inner renal medulla vasa recta,inner renal medulla vasa recta,UBERON:0004776,inner medulla vasa recta descending limb,inner medulla vasa recta descending limb,UBERON:0009089,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,outer medulla of kidney,outer medulla of kidney,UBERON:0001293,outer renal medulla vasa recta,outer renal medulla vasa recta,UBERON:0004775,outer medulla vasa recta descending limb,outer medulla vasa recta descending limb,UBERON:0009090,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal cortex artery,renal cortex artery,UBERON:0005268,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal cortex vein,renal cortex vein,UBERON:0005269,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,maturing nephron,maturing nephron,UBERON:0007654,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,juxtaglomerular apparatus,juxtaglomerular apparatus,UBERON:0002303,part of afferent arteriole forming the juxtaglomerular complex,part of afferent arteriole forming the juxtaglomerular complex,UBERON:0006374,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,glomerular capsule,glomerular capsule,UBERON:0001230,pronephric glomerular capsule epithelium,pronephric glomerular capsule epithelium,UBERON:2005311,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal cortex interstitium,renal cortex interstitium,UBERON:0005270,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,juxtaglomerular apparatus,juxtaglomerular apparatus,UBERON:0002303,macula densa,macula densa,UBERON:0002335,distal convoluted tubule macula densa,distal convoluted tubule macula densa,UBERON:0003546,,,,,,
kidney,kidney,UBERON:0002113,renal duct,renal duct,UBERON:0006553,,,,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,proximal convoluted tubule,proximal convoluted tubule,UBERON:0001287,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,proximal tubule,proximal tubule,UBERON:0004134,proximal tubular epithelium,proximal tubular epithelium,UBERON:0008404,,,,,,,,,
kidney,kidney,UBERON:0002113,renal collecting system,renal collecting system,UBERON:0004100,,,,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,kidney interstitium,kidney interstitium,UBERON:0005215,,,,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,inner medulla of kidney,inner medulla of kidney,UBERON:0001294,inner renal medulla vasa recta,inner renal medulla vasa recta,UBERON:0004776,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,kidney interstitium,kidney interstitium,UBERON:0005215,mesangium,mesangium,UBERON:0002319,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,renal glomerulus,renal glomerulus,UBERON:0000074,renal glomerulus vasculature,renal glomerulus vasculature,UBERON:0004190,glomerular capillary,glomerular capillary,UBERON:0004212,,,
kidney,kidney,UBERON:0002113,renal pelvis,renal pelvis,UBERON:0001224,perihilar interstitium,perihilar interstitium,UBERON:0006373,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,outer medulla of kidney,outer medulla of kidney,UBERON:0001293,outer renal medulla vasa recta,outer renal medulla vasa recta,UBERON:0004775,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,renal glomerulus,renal glomerulus,UBERON:0000074,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,renal efferent arteriole,renal efferent arteriole,UBERON:0004640,,,,,,,,,
kidney,kidney,UBERON:0002113,head kidney,head kidney,UBERON:0007132,interrenal gland,interrenal gland,UBERON:0006856,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,renal glomerulus,renal glomerulus,UBERON:0000074,glomerular epithelium,glomerular epithelium,UBERON:0004188,glomerular basement membrane,glomerular basement membrane,UBERON:0005777,lamina rara interna,lamina rara interna,UBERON:0005788
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal cortex tubule,renal cortex tubule,UBERON:0006853,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal cortex tubule,renal cortex tubule,UBERON:0006853,distal straight tubule postmacula segment,distal straight tubule postmacula segment,UBERON:0006854,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal cortex peritubular capillary,renal cortex peritubular capillary,UBERON:0006851,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,renal glomerulus,renal glomerulus,UBERON:0000074,glomerular epithelium,glomerular epithelium,UBERON:0004188,glomerular basement membrane,glomerular basement membrane,UBERON:0005777,lamina rara externa,lamina rara externa,UBERON:0005789
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,nephrogenic zone,nephrogenic zone,UBERON:0009871,metanephros induced blastemal cells,metanephros induced blastemal cells,UBERON:0010531,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,juxtamedullary cortex,juxtamedullary cortex,UBERON:0005271,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,kidney corticomedullary boundary,kidney corticomedullary boundary,UBERON:0009917,,,,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,,,,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal lobe,renal lobe,UBERON:0009913,,,,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,kidney pyramid,kidney pyramid,UBERON:0004200,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,outer medulla of kidney,outer medulla of kidney,UBERON:0001293,outer medullary collecting duct,outer medullary collecting duct,UBERON:0004204,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,inner medulla of kidney,inner medulla of kidney,UBERON:0001294,inner renal medulla loop of henle,inner renal medulla loop of henle,UBERON:0003455,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,,,,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,outer medulla of kidney,outer medulla of kidney,UBERON:0001293,kidney outer medulla inner stripe,kidney outer medulla inner stripe,UBERON:0004201,outer medulla inner stripe loop of Henle,outer medulla inner stripe loop of Henle,UBERON:0006541,,,,,,,,,
kidney,kidney,UBERON:0002113,hilum of kidney,hilum of kidney,UBERON:0008716,,,,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal interlobular vein,renal interlobular vein,UBERON:0005168,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,kidney vasculature,kidney vasculature,UBERON:0006544,,,,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,proximal convoluted tubule,proximal convoluted tubule,UBERON:0001287,proximal convoluted tubule brush border,proximal convoluted tubule brush border,UBERON:0012428,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal cortex tubule,renal cortex tubule,UBERON:0006853,distal straight tubule macula densa,distal straight tubule macula densa,UBERON:0005202,,,,,,,,,
kidney,kidney,UBERON:0002113,head kidney,head kidney,UBERON:0007132,,,,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,uriniferous tubule,uriniferous tubule,UBERON:0007684,nephron,nephron,UBERON:0001285,nephron epithelium,nephron epithelium,UBERON:0004211,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal pelvis,renal pelvis,UBERON:0001224,kidney pelvis smooth muscle,kidney pelvis smooth muscle,UBERON:0004227,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal pelvis,renal pelvis,UBERON:0001224,kidney calyx,kidney calyx,UBERON:0006517,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,inner medulla of kidney,inner medulla of kidney,UBERON:0001294,inner medullary collecting duct,inner medullary collecting duct,UBERON:0004205,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,outer medulla of kidney,outer medulla of kidney,UBERON:0001293,kidney outer medulla outer stripe,kidney outer medulla outer stripe,UBERON:0004202,outer medulla outer stripe loop of Henle,outer medulla outer stripe loop of Henle,UBERON:0006542,,,,,,,,,
kidney,kidney,UBERON:0002113,renal sinus,renal sinus,UBERON:0006171,,,,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,outer medulla of kidney,outer medulla of kidney,UBERON:0001293,kidney outer medulla outer stripe,kidney outer medulla outer stripe,UBERON:0004202,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,outer medulla of kidney,outer medulla of kidney,UBERON:0001293,kidney outer medulla outer stripe,kidney outer medulla outer stripe,UBERON:0004202,outer medulla outer stripe loop of Henle,outer medulla outer stripe loop of Henle,UBERON:0006542,proximal straight tubule,proximal straight tubule,UBERON:0001290,,,,,,
kidney,kidney,UBERON:0002113,uriniferous tubule,uriniferous tubule,UBERON:0007684,,,,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal pelvis,renal pelvis,UBERON:0001224,,,,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,glomerular capsule,glomerular capsule,UBERON:0001230,visceral layer of glomerular capsule,visceral layer of glomerular capsule,UBERON:0005751,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,glomerular capsule,glomerular capsule,UBERON:0001230,glomerular parietal epithelium,glomerular parietal epithelium,UBERON:0005750,,,,,,
kidney,kidney,UBERON:0002113,kidney interstitium,kidney interstitium,UBERON:0005215,mesangium,mesangium,UBERON:0002319,mesangial matrix,mesangial matrix,UBERON:0012352,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,proximal convoluted tubule,proximal convoluted tubule,UBERON:0001287,proximal convoluted tubule segment 2,proximal convoluted tubule segment 2,UBERON:0004197,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,renal glomerulus,renal glomerulus,UBERON:0000074,glomerular epithelium,glomerular epithelium,UBERON:0004188,glomerular basement membrane,glomerular basement membrane,UBERON:0005777,,,
kidney,kidney,UBERON:0002113,kidney epithelium,kidney epithelium,UBERON:0004819,,,,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,cortical collecting duct,cortical collecting duct,UBERON:0004203,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,kidney arcuate artery,kidney arcuate artery,UBERON:0001552,,,,,,,,,,,,
